,Alex,Morgan,Taylor,Casey,Skylar,Morgan,Quinn,Sage,Avery,Blair,Harper,Dylan,Charlie,Jordan,Sam,Parker,Blake,Jordan,Emerson,Riley
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,7.0,,,,,,,,,
2,,,,,,,,7.0,,,,,,,,,,,,
3,,4.0,7.0,,,4.0,7.0,,,,,,,,,,,,,4.0
4,,,,,,,,,,,,,,,7.0,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,5.0,,,,5.0,,,,,,,,,,6.0,,,,
7,,,,,,,,,,,,,7.0,,,,,,,
8,,,,,6.0,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,8.0,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,6.0,6.0,,,,6.0,,,,,,,,,,,,,4.0,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,7.0,,,,7.0,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,8.0,,,
22,,,,,,,,,,,,,,,,,,,,7.0
23,,,,,,,8.0,,,,,,,7.0,,,,7.0,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,8.0
29,,,,,,,,,,,,,,5.0,,,,5.0,,
30,,,,,8.0,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,5.0,,,,,,,
34,5.0,7.0,,,,7.0,,,,,,,,,,,8.0,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,7.0,,,,,,,,,,7.0
37,,,,,,,,,,,,,,,,,,,,
38,7.0,7.0,,,,7.0,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,6.0,,,,6.0,,,,,,,,,,,,,,
41,8.0,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,8.0,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,6.0,,,,,,,,,
49,,,,,,,,6.0,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,7.0
51,,,,,,,,,,,,,,,,,,,,
52,,,,,5.0,,,,,,,,,,7.0,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,7.0,,,,7.0,,,,,7.0,,,,,,,,,
55,,,3.0,,,,,,,,,,,,,,,,,
56,,4.0,,,,4.0,,,,,,,,,7.0,,,,,
57,,,,,,,,4.0,5.0,,,,,6.0,,,,6.0,,7.0
58,4.0,8.0,,,,8.0,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,6.0,,,,,,,,,,,7.0
61,,,,,6.0,,,,,,,,,,,,,,,
62,,,,,,,,,,,,7.0,,,,,6.0,,,
63,,,,,,,,,,,,,,,,,,,,
64,,8.0,,,,8.0,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,8.0,,,,,,,,
67,,,,,,,,,,7.0,,,,,,,,,,
68,,,8.0,,,,,,,8.0,,,,,,,8.0,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,7.0,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,8.0,,,,,,,,,,,,,
73,,,,,,,,,,5.0,,,6.0,,7.0,,,,,
74,,8.0,,,,8.0,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,8.0,,,,8.0,,
80,,,,,,,,,,,,,,,,6.0,,,7.0,
81,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,6.0,,,7.0
83,,,,,,,,,,,,,,,,,,,6.0,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,5.0,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,4.0,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,4.0,,,,,,,,,,,,
94,,,,,,,,,,,,,,8.0,,,,8.0,,
95,,,,,,,,,,6.0,,,,,,,,,,
96,1.0,,,,,,,,,,,,,,,,,,,
97,,6.0,,,,6.0,,,8.0,,,,,7.0,,3.0,,7.0,,
98,,8.0,7.0,,,8.0,,,,,,6.0,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
100,,,7.0,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,4.0,,,,,,,,,,,,,6.0,,,7.0,6.0,,
104,,7.0,,,,7.0,8.0,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,6.0,,,,,
107,,,4.0,8.0,,,,,,,,,4.0,,,,,,,
108,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,6.0,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,8.0
111,,,,,,,6.0,,7.0,,,8.0,,,,,,,,
112,,,,,,,,,,,,,,,,5.0,,,,
113,,,,,,,,5.0,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,7.0,,,
118,,,,,,,7.0,,,,8.0,,,,,,,,,
119,,8.0,,,,8.0,,,,,,,,,,,,,,
120,,,,,7.0,,,,,,7.0,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,
122,,,6.0,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,7.0,,,,
125,,,6.0,,,,,,4.0,,,,,,,,,,5.0,
126,,5.0,,,,5.0,,,,,,,,,,,6.0,,,
